Player name ,Nation,Position,Squad,Compition,Age,Born year,Match played,Starts,MIn,90s,Goal,Assist,Goal + Assist,Goal+Penalty kick,Penalty Kick,Penalty Kick Attempted,Yellow Card,Red Card,Expected Goal,Non-penalty Expected Goal,Expected Assisted Goal,Non-penalty Expected Goal + Expected Assisted Goal,Progressive Carries,Progressive Passes,Progressive Passes Receive
Matt Doherty,IRL,DF,Atlético Madrid,La Liga,31-071,1992,1,13,0.1,1,,,,,0,0,,0,0,0,0,0,0,,0
Josh Doig,SCO,DF,Hellas Verona,Serie A,20-314,2002,19,14,"1,240",13.8,2,3,5,2,0,0,1,0,1.8,1.8,1,2.9,40,24,57
Jeremy Doku,BEL,"MF,FW",Rennes,Ligue 1,20-305,2002,19,5,601,6.7,1,1,1,1.3,0,0,1.4,0,1.3,2.7,32,79,43,,
Kasper Dolberg,DEN,FW,Sevilla,La Liga,25-173,1997,4,2,197,2.2,2,1,1,0.4,0,0,0.4,0,,2,9,,,,
Kasper Dolberg,DEN,"FW,MF",Hoffenheim,Bundesliga,25-173,1997,8,4,342,3.8,0.4,0.4,0.4,0.9,0,0,4,0,4,18,,,,,
Carlos Dominguez,ESP,DF,Celta Vigo,La Liga,22-045,2001,2,18,0.2,1,,,,,0,0,,0,0,0,0,0,0,,0
Nicolás Domínguez,ARG,MF,Bologna,Serie A,24-273,1998,21,18,"1,581",17.6,1,2,3,1,0,0,7,0,1.2,1.2,1.8,3,26,95,53
John Donald,ESP,DF,Elche,La Liga,22-210,2000,3,2,150,1.7,,1,,,0,0,,0,0,0,0,0,0,,
Giulio Donati,ITA,DF,Monza,Serie A,33-051,1990,6,3,309,3.4,1,1,1,3,0,0,1,0,0.4,0.4,0.4,17,3,8,
Kyliane Dong,FRA,"DF,MF",Troyes,Ligue 1,18-182,2004,3,58,0.6,0.1,0.1,0.1,7,,0,0,,0,3,,,0,,,
Jordan Dongmo,CMR,MF,Troyes,Ligue 1,22-057,2001,2,20,0.2,,,,,,0,0,,0,0,0,0,0,0,0,0
Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,24-031,1999,28,28,"2,520",28,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Niklas Dorsch,GER,MF,Augsburg,Bundesliga,25-072,1998,6,2,187,2.1,2,1,6,,0,0,,0,0,0,0,0,,,
Gabriel Dos Santos,BRA,DF,Arsenal,Premier League,25-099,1997,28,28,"2,515",27.9,3,3,3,4,0,0,3.8,0,3.8,0.2,4,119,14,11,0.11
Jodel Dossou,BEN,"MF,DF",Clermont Foot,Ligue 1,31-011,1992,9,2,258,2.9,1,1,1,0.4,0,0,0.2,0,0.4,0.6,6,23,8,,
