Playername,Nation,Position,Squad,League,Age,BirthYear,MatchesPlayed,Starts,MinutesPlayed,Per90,Goal,Assist,GoalnAssist,GoalnPenaltyKick,ExpectedGoal,NonPenaltyExpectedGoal,ExpectedAssistedGoal,Carries,Passes,PassesReceived
Carlos Baleba,CMR,Midfielder,Lille,Ligue 1,19,2004,13,3,288,3.2,0,2.0,1.0,0.3,12.0,0.3,21.0,0,0,0
Mikel Balenziaga,ESP,Defender,Athletic Club,La Liga,35,1988,3,1,115,1.3,0,7.0,6.0,0,0.0,0,0,0.0,0,0
Leonardo Balerdi,ARG,Defender,Marseille,Ligue 1,24,1999,27,24,"2,063",22.9,0,1.0,1.0,5.0,11.0,0.5,0.1,0.02,71.0,13.0
Iván Balliu,ALB,Defender,Rayo Vallecano,La Liga,31,1992,25,25,"2,181",24.2,0,5.0,0.3,2.3,53.0,95.0,101.0,0.01,0.11,0.01
Fodé Ballo-Touré,SEN,Defender,Milan,Serie A,26,1997,4,3,286,3.2,1,1.0,1.0,0.4,0.4,0.5,13.0,8.0,0,0
Folarin Balogun,ENG,Forward,Reims,Ligue 1,21,2001,27,24,"2,119",23.5,17,1.0,18.0,13.0,18.5,5.0,3.0,41.0,2.3,16.7
Abdoulaye Bamba,CIV,Defender,Angers,Ligue 1,32,1990,11,5,648,7.2,6,2.0,0.3,0.3,0.0,11.0,0,0,0,0
Jonathan Bamba,FRA,Forward,Lille,Ligue 1,27,1996,24,22,"1,976",22.0,5,5.0,10.0,5.0,5.8,5.8,4.8,84.0,113.0,240.0
Patrick Bamford,ENG,Forward,Leeds United,Premier League,29,1993,19,11,956,10.6,2,2.0,4.0,2.0,5.6,1.0,4.8,10.0,5.7,18.0
Lameck Banda,ZAM,"Forward,Midfielder",Lecce,Serie A,22,2001,26,13,"1,180",13.1,1,1.0,2.0,1.0,1.8,1.8,1.0,54.0,19.0,112.0
Filippo Bandinelli,ITA,Midfielder,Empoli,Serie A,27,1995,26,21,"1,739",19.3,2,2.0,2.0,6.0,1.4,2.3,3.7,30.0,75.0,0.1
Léo Baptistão,BRA,"Forward,Midfielder",Almería,La Liga,30,1992,21,17,"1,244",13.8,3,1.0,4.0,3.0,3.4,3.4,1.0,27.0,38.0,58.0
Shandon Baptiste,GRN,Midfielder,Brentford,Premier League,24,1998,14,4,454,5.0,0,3.0,1.0,0.2,8.0,0.9,33.0,0,0,0
Antonín Barák,CZE,Midfielder,Hellas Verona,Serie A,28,1994,1,25,0.3,2.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0,0
