Player name ,Nation,Position,Squad,League,Age,Birth Year,Matches Played,Starts,Minutes Played,Per90,Goal,Assist,Goal n Assist,Goal n Penalty Kick,Expected Goal,NonPenalty Expected Goal,Expected Assisted Goal,Carries,Passes,Passes Received
Sofiane Boufal,MAR,"FW,MF",Angers,Ligue 1,29-192,1993,13,9,834,9.3,4.0,3.0,7.0,2.0,3.6,2.0,3.0,47.0,2.1,2.9
Wassim Boullif,ESP,"DF,MF",Espanyol,La Liga,18-053,2005,5,88,1,2.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Yassine Bounou,MAR,GK,Sevilla,La Liga,31-357,1991,24,24,"2,061",22.9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ismaëlben Boura,FRA,"DF,FW",Lens,Ligue 1,22-226,2000,9,93,1,0.1,0.1,0.2,0.3,6.0,6.0, , , , , 
Mehdi Bourabia,MAR,MF,Spezia,Serie A,31-233,1991,27,26,"2,088",23.2,1.1,2.0,2.0,3.0,26.0,3.2,4.2,0.05,24.0,0.09
Benjamin Bourigeaud,FRA,"MF,FW",Rennes,Ligue 1,29-073,1994,27,27,"2,198",24.4,3.0,6.0,9.0,2.0,4.2,1.0,4.0,28.0,3.4,7.8
Edoardo Bove,ITA,MF,Roma,Serie A,20-316,2002,13,3,332,3.7,0.4,2.0,0.4,0.1,3.0,7.0,4.0, , , 
Jarrod Bowen,ENG,"FW,MF",West Ham,Premier League,26-098,1996,26,26,"2,330",25.9,4.0,2.0,6.0,3.0,6.9,2.0,2.0,73.0,4.7,10.5
Lucas Boyé,ARG,FW,Elche,La Liga,27-028,1996,24,20,"1,692",18.8,3.0,2.0,5.0,3.0,5.0,5.0,1.0,45.0,1.8,6.1
Jayden Braaf,NED,MF,Hellas Verona,Serie A,20-209,2002,4,2,225,2.5,0.4,1.0,0.4,0.1,5.0,3.0,18.0, , , 
Domagoj Bradaric,CRO,DF,Salernitana,Serie A,23-108,1999,22,16,"1,535",17.1,0.2,2.0,2.0,4.0,47.0,2.2,2.3,0.01,88.0,0.12
Bilal Brahimi,ALG,"FW,MF",Nice,Ligue 1,23-014,2000,19,3,548,6.1,3.0,2.0,5.0,3.0,0.8,1.5,2.3,31.0,65.0, 
Martin Braithwaite,DEN,"FW,MF",Espanyol,La Liga,31-296,1991,21,21,"1,724",19.2,8.0,1.0,9.0,8.0,6.3,1.0,6.3,20.0,7.4,34.0
Juan Brandáriz,ESP,DF,Almería,La Liga,24-026,1999,15,10,"1,017",11.3,1.0,1.0,1.0,4.0,0.4,0.4,24.0,11.0,0.09,0.09
Julian Brandt,GER,"MF,FW",Dortmund,Bundesliga,26-330,1996,23,20,"1,757",19.5,8.0,4.0,12.0,8.0,3.6,3.6,6.4,45.0,81.0,158.0
Darko Braanac,SRB,MF,Osasuna,La Liga,31-044,1992,24,8,"1,004",11.2,1.0,1.0,2.0,1.0,1.1,1.1,0.7,17.0,48.0,36.0
Lilian Brassier,FRA,DF,Brest,Ligue 1,23-146,1999,26,25,"2,193",24.4,0.5,4.0,0.5,0.9,19.0,85.0,29.0,0.02,0.06,0.02
Claudio Bravo,CHI,GK,Betis,La Liga,39-349,1983,6,6,540,6.0, ,1.0,1.0, ,0.0,0.0,0.0,0.0, , 
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,28-026,1995,6,6,540,6.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
James Bree,ENG,DF,Southampton,Premier League,25-168,1997,3,2,201,2.2,3.0,0.2,0.2,3.0,0.0, , , , , 
Josip Brekalo,CRO,FW,Fiorentina,Serie A,24-278,1998,2,64,0.7,1.0,2.0,0.2,0.3,6.0, , , , , , 
Josip Brekalo,CRO,"MF,FW",Wolfsburg,Bundesliga,24-278,1998,6,3,271,3.0,0.1,1.0,1.0,0.1,9.0,0.5,13.0, , , 
Gleison Bremer,BRA,DF,Juventus,Serie A,26-010,1997,23,23,"2,016",22.4,3.0,1.0,4.0,3.0,2.9,2.9,1.0,6.0,33.0,2.0
Armando Broja,ALB,FW,Chelsea,Premier League,21-199,2001,12,2,294,3.3,1.0,1.0,1.0,0.8,0.8,0.9,4.0,8.0, , 
Dylan Bronn,TUN,DF,Salernitana,Serie A,27-282,1995,20,16,"1,425",15.8,0.7,3.0,1.0,0.7,9.0,1.0,65.0,0.04,0.02,0.06
David Brooks,WAL,DF,Bournemouth,Premier League,25-263,1997,1,12,0.1, , , , , ,0.0,0.0,0.0,0.0,0.0,0.0
John Brooks,USA,DF,Hoffenheim,Bundesliga,30-059,1993,6,6,540,6.0,0.1,3.0,0.1,0.1,1.0,1.0, , , , 
Moritz Broschinski,GER,"FW,MF",Bochum,Bundesliga,22-186,2000,5,100,1.1,1.0,1.0,1.0,1.0,0.4,0.4,1.0,11.0,5.0, , 
Marcelo Brozovic,CRO,MF,Inter,Serie A,30-132,1992,17,11,"1,013",11.3,2.0,2.0,2.0,5.0,1.9,0.4,2.3,19.0,17.0,0.18
Cédric Brunner,SUI,DF,Schalke 04,Bundesliga,29-039,1994,21,21,"1,762",19.6,0.2,3.0,0.2,1.2,23.0,62.0,18.0,0.01,0.07,0.01
Lewis Brunt,ENG,DF,Leicester City,Premier League,22-142,2000,1,23,0.3,2.0, , , , ,0.0,0.0,0.0,0.0, ,0.0
Jacob Bruun Larsen,DEN,FW,Hoffenheim,Bundesliga,24-190,1998,11,3,294,3.3,1.0,1.0,1.0,1.2,1.2,1.5,4.0,9.0, , 
Andreas Bruus,DEN,"DF,FW",Troyes,Ligue 1,24-071,1999,19,14,"1,273",14.1,0.4,2.0,2.0,2.0,38.0,1.6,1.9,0.03,93.0,0.14
Bryan,ESP,"MF,FW",Tottenham,Premier League,22-045,2001,4,2,148,1.6,0.1,1.0,1.0,1.0,4.0,0.2,0.3, ,15.0, 
Bryan,ESP,"DF,MF",Sevilla,La Liga,22-045,2001,7,3,325,3.6,1.0,1.0,2.0,1.0,1.5,1.5,0.3,11.0,9.0,32.0
Joe Bryan,ENG,"MF,DF",Nice,Ligue 1,29-192,1993,5,2,166,1.8,2.0,2.0,0.1,8.0, , , , , , 
Lee Buchanan,ENG,"DF,FW",Werder Bremen,Bundesliga,22-021,2001,16,1,328,3.6,1.0,1.0,1.0,1.0,0.2,0.5,0.8,8.0,18.0, 
